Date,  Price  ,  Open  ,  High  ,  Low  ,  Vol  ,Change,direction,mavg
2021-07-06,89313,87710,89695,87023,,0.02,Increasing,82738.5
2021-07-05,87786,90153,90229,87252,,-0.03,Decreasing,83788.125
2021-07-02,90840,93053,93053,89313,,-0.01,Decreasing,85219.5
2021-07-01,91603,93969,94351,90992,,-0.01,Decreasing,86679.375
2021-06-30,92366,93130,93130,91603,,0,Decreasing,88196.5
2021-06-29,92366,92214,92672,90382,,0.01,Increasing,89866.25
2021-06-28,91603,91603,93817,91221,,0.01,Increasing,90744.125
2021-06-25,90916,86641,91221,86641,,0.04,Increasing,90849.125
2021-06-24,87786,84428,87786,82748,,0.03,Increasing,90658.25
2021-06-23,85496,87710,88092,85115,,-0.01,Decreasing,90372
2021-06-22,86641,85496,87405,84809,,0.04,Increasing,89847.125
2021-06-21,83206,79542,83969,79008,,0.06,Increasing,88797.5
2021-06-18,78626,78626,79389,78244,,0.01,Increasing,87080
2021-06-17,78015,78626,78702,78015,,-0.01,Decreasing,85286.125
2021-06-16,79008,79389,79542,78626,,0,Decreasing,83711.75
2021-06-15,79389,78779,79618,78702,,0,Increasing,82270.875
2021-06-14,79313,80153,80153,78702,,-0.01,Decreasing,81211.75
2021-06-11,80076,79389,80305,79084,,0.01,Increasing,80534.25
2021-06-10,79084,80763,81298,79084,,-0.03,Decreasing,79589.625
2021-06-09,81145,81679,81832,80153,,0.06,Increasing,79332
2021-06-08,76518,77981,77981,75337,,-0.02,Decreasing,79068.5
2021-06-07,77981,78488,79444,77812,,-0.01,Decreasing,79064.25
2021-06-04,78656,80401,80401,78544,,-0.01,Decreasing,79020.25
2021-06-03,79332,78769,79894,78544,,0.01,Increasing,79013.125
2021-06-02,78431,76293,78769,76125,,0.03,Increasing,78902.875
2021-06-01,76406,75956,76406,75731,,0.01,Increasing,78444.125
2021-05-31,75731,75393,76125,75393,,0,Decreasing,78025
2021-05-28,75899,76293,76518,75506,,-0.01,Decreasing,77369.25
2021-05-27,76518,75956,77025,75618,,0.02,Increasing,77369.25
2021-05-26,75112,75393,76237,74830,,-0.01,Decreasing,77010.625
2021-05-25,76237,75956,76518,74718,,0,Increasing,76708.25
2021-05-24,75956,77306,77644,75393,,-0.02,Decreasing,76286.25
2021-05-21,77250,77812,78994,76518,,-0.03,Decreasing,76138.625
2021-05-20,79332,80401,81019,76969,,-0.01,Decreasing,76504.375
2021-05-19,79894,80794,81470,79332,,0,Increasing,77024.75
2021-05-18,79725,77644,79894,77250,,0.03,Increasing,77503
2021-05-17,77419,75168,77644,75168,,0.03,Increasing,77615.625
2021-05-14,75449,74830,75899,74605,,0,Increasing,77657.75
2021-05-13,75393,73143,78206,72580,,0.03,Increasing,77552.25
2021-05-12,73143,71736,73143,71455,,0.01,Increasing,77200.625
2021-05-11,72299,72299,73424,71398,,0,Decreasing,76581.75
2021-05-10,72299,74830,76237,72299,,-0.05,Decreasing,75702.625
2021-05-07,76406,76518,79332,76406,,0,Increasing,75266.625
2021-05-06,76350,74549,76800,73818,,0.02,Increasing,74844.75
2021-05-05,74830,73705,75843,73480,,0.01,Increasing,74521.125
2021-05-04,73987,73930,74268,70386,,0,Increasing,74338.375
2021-04-29,73930,73143,74549,72580,,0.03,Increasing,74155.5
2021-04-28,72017,68416,72017,66672,,0.05,Increasing,74014.75
2021-04-27,68360,64365,68642,64365,,0.06,Increasing,73522.375
2021-04-26,64365,61046,64365,60146,,0.07,Increasing,72530.625
2021-04-23,60202,60371,60483,59696,,0,Decreasing,70505.125
2021-04-22,60371,60765,61046,59639,,-0.01,Decreasing,68507.75
2021-04-20,61046,61327,61777,59696,,0,Decreasing,66784.75
2021-04-19,61327,61327,61890,60483,,0.01,Increasing,65202.25
2021-04-16,60765,57670,61665,57670,,0.05,Increasing,63556.625
2021-04-15,57670,57783,58514,56320,,0.02,Increasing,61763.25
2021-04-14,56320,54351,56320,53732,,0.04,Increasing,60258.25
2021-04-13,54351,54013,55138,53619,,0.01,Increasing,59006.5
2021-04-12,53619,50918,54013,50693,,0.06,Increasing,58183.625
2021-04-09,50637,49568,50693,49343,,0.01,Increasing,56966.875
2021-04-08,49962,49793,50693,49624,,0.01,Increasing,55581.375
2021-04-07,49568,48837,49793,48499,,0.02,Increasing,54111.5
2021-04-06,48837,48105,49231,47599,,0.02,Increasing,52620.5
2021-04-05,48105,48837,48837,46755,,0.04,Increasing,51424.875
2021-04-02,46136,46417,46642,46024,,0,Increasing,50151.875
2021-04-01,46024,45292,46699,45292,,0.02,Increasing,49111
2021-03-31,45292,45292,45461,45067,,0,Decreasing,48070.125
2021-03-30,45405,45180,45461,44955,,0.01,Increasing,47416.125
2021-03-29,45011,45011,45067,44730,,0.01,Increasing,46797.25
2021-03-26,44730,44842,44898,44336,,-0.01,Decreasing,46192.5
2021-03-25,45011,44955,45573,44617,,0,Increasing,45714.25
2021-03-24,44898,44898,45011,44561,,0,Decreasing,45313.375
2021-03-23,45011,45573,46136,44955,,-0.01,Decreasing,45172.75
2021-03-22,45461,45011,45630,45011,,0.02,Increasing,45102.375
2021-03-19,44448,45461,45686,44448,,-0.03,Decreasing,44996.875
2021-03-18,45686,45799,46136,45011,,0.01,Increasing,45032
2021-03-17,45292,45180,45517,44786,,0,Decreasing,45067.125
2021-03-16,45517,45799,46080,45236,,-0.01,Decreasing,45165.5
2021-03-15,46080,46249,46699,45742,,0,Decreasing,45299.125
2021-03-12,46249,46474,46586,46024,,-0.01,Decreasing,45468
2021-03-11,46642,46811,46980,46192,,0,Increasing,45671.875
2021-03-10,46417,46249,46417,45067,,0.01,Increasing,45791.375
2021-03-09,46136,45799,46249,45123,,0.01,Increasing,46002.375
2021-03-08,45799,45180,45911,44448,,0.02,Increasing,46016.5
2021-03-05,44955,45686,45799,43886,,-0.01,Decreasing,45974.375
2021-03-04,45348,46024,46080,45011,,-0.01,Decreasing,45953.25
2021-03-03,45799,44504,46136,44336,,0.03,Increasing,45918.125
2021-03-02,44617,44842,45011,44561,,-0.01,Decreasing,45714.125
2021-03-01,44842,44786,45011,44504,,0,Increasing,45489.125
2021-02-26,44786,44730,45573,44561,,-0.01,Decreasing,45285.25
2021-02-25,45011,45461,45911,44561,,-0.01,Decreasing,45144.625
2021-02-24,45236,45461,46024,44673,,0,Decreasing,45074.25
2021-02-23,45461,45461,45517,45067,,0,Decreasing,45137.5
2021-02-22,45461,45236,45517,44617,,0.01,Increasing,45151.625
2021-02-19,45180,45855,46361,45011,,-0.01,Decreasing,45074.25
2021-02-18,45855,45180,45855,44504,,0.01,Increasing,45229
2021-02-17,45573,45517,45686,44392,,0.03,Increasing,45320.375
2021-02-09,44448,44167,45236,43323,,0.02,Increasing,45278.125
2021-02-08,43717,45011,45011,42760,,-0.03,Decreasing,45116.375
2021-02-05,45123,46136,46361,44842,,-0.02,Decreasing,45102.25
2021-02-04,45855,46699,46980,45461,,-0.02,Decreasing,45151.5
2021-02-03,46699,45348,46980,44898,,0.03,Increasing,45306.25
2021-02-02,45292,45067,45573,44561,,0.01,Increasing,45320.25
2021-02-01,45067,45123,46586,44504,,0,Decreasing,45221.75
2021-01-29,45123,43042,45630,42929,,0.06,Increasing,45165.5
2021-01-28,42648,44955,45517,42535,14.18,-0.07,Decreasing,44940.5
2021-01-27,45686,45573,46417,45011,,0,Increasing,45186.625
2021-01-26,45573,45292,46417,44448,,0.01,Increasing,45242.875
2021-01-25,45011,44673,45067,44392,,0.01,Increasing,45137.375
2021-01-22,44448,42873,45011,42198,,0.04,Increasing,44856
2021-01-21,42704,41297,42985,40510,,0.05,Increasing,44532.5
2021-01-20,40510,39947,41635,39441,,0.04,Increasing,43962.875
2021-01-19,38941,40277,40332,37272,,-0.02,Decreasing,43190.125
2021-01-18,39887,40054,41111,39498,,-0.01,Decreasing,42845
2021-01-15,40332,41779,42001,40332,12.06,-0.04,Decreasing,42175.75
2021-01-14,41834,42057,42724,41667,,-0.01,Decreasing,41708.375
2021-01-13,42057,41945,42557,41779,,0,Increasing,41339.125
2021-01-12,41945,42001,43281,41612,11.88,0,Decreasing,41026.25
2021-01-11,42001,42001,42112,41167,11.27,0,Decreasing,40938.375
2021-01-08,42112,40332,42224,40332,,0.06,Increasing,41138.625
2021-01-07,39665,36994,39665,36994,15.58,0.07,Increasing,41229.125
